open,high,low,close,volume,vwap,timestamp,transactions,otc,Date
154.12,155.29,153.76,154.77,268274.0,154.7953,2022-07-25 08:00:00,4509,,2022-07-25
155.0793,155.2397,152.358,153.645,26137507.0,153.5438,2022-07-25 12:00:00,257606,,2022-07-25
153.6484,154.08,152.28,152.949,22203913.0,153.0806,2022-07-25 16:00:00,217163,,2022-07-25
152.95,153.15,152.0,152.68,1267343.0,152.8178,2022-07-25 20:00:00,6631,,2022-07-25
153.24,153.24,152.0,152.11,201558.0,152.3287,2022-07-26 08:00:00,3234,,2022-07-26
152.31,153.085,150.85,150.99,21291080.0,151.7832,2022-07-26 12:00:00,220818,,2022-07-26
151.0,152.49,150.8,151.56,25613488.0,151.5881,2022-07-26 16:00:00,238797,,2022-07-26
151.6,152.83,151.33,152.83,2679422.0,151.8392,2022-07-26 20:00:00,8243,,2022-07-26
152.9,153.45,152.67,152.72,167586.0,153.0141,2022-07-27 08:00:00,3173,,2022-07-27
152.92,154.8,151.221,154.1599,26250579.0,153.8421,2022-07-27 12:00:00,225096,,2022-07-27
154.16,157.33,153.91,156.71,39122926.0,155.6915,2022-07-27 16:00:00,339704,,2022-07-27
156.79,156.79,155.71,156.5,2971017.0,156.5849,2022-07-27 20:00:00,9704,,2022-07-27
155.39,156.19,155.3,155.96,203119.0,155.8104,2022-07-28 08:00:00,3577,,2022-07-28
156.12,157.49,154.41,156.895,27485337.0,155.9601,2022-07-28 12:00:00,286258,,2022-07-28
156.8955,157.64,156.16,157.3,34245305.0,157.055,2022-07-28 16:00:00,324401,,2022-07-28
157.35,164.01,155.85,162.02,14278396.0,161.4134,2022-07-28 20:00:00,123455,,2022-07-28
162.03,162.03,160.32,161.8,733676.0,161.2487,2022-07-29 08:00:00,11680,,2022-07-29
161.2387,163.63,159.5,162.14,51096067.0,161.9421,2022-07-29 12:00:00,452691,,2022-07-29
162.135,163.18,161.73,162.57,33688524.0,162.6136,2022-07-29 16:00:00,301302,,2022-07-29
162.58,162.58,162.06,162.15,3581498.0,162.492,2022-07-29 20:00:00,6277,,2022-07-29
161.98,162.3,161.79,162.06,176136.0,162.1097,2022-08-01 08:00:00,3970,,2022-08-01
162.09,163.59,160.85,163.16,28745389.0,162.6539,2022-08-01 12:00:00,309935,,2022-08-01
163.19,163.2382,160.89,161.57,27099418.0,161.7793,2022-08-01 16:00:00,273340,,2022-08-01
161.51,161.77,161.31,161.4,6593376.0,161.5107,2022-08-01 20:00:00,4301,,2022-08-01
161.28,161.28,159.55,160.2,257638.0,160.0543,2022-08-02 08:00:00,5092,,2022-08-02
160.05,161.725,159.63,161.16,23912540.0,160.6546,2022-08-02 12:00:00,247701,,2022-08-02
161.17,162.41,159.93,159.99,28163885.0,160.9104,2022-08-02 16:00:00,282746,,2022-08-02
159.98,160.35,159.8,160.0,4062302.0,160.0291,2022-08-02 20:00:00,5845,,2022-08-02
160.28,161.31,159.84,161.21,165456.0,160.8283,2022-08-03 08:00:00,3088,,2022-08-03
160.9443,165.185,159.61,165.0758,34097990.0,163.385,2022-08-03 12:00:00,319399,,2022-08-03
165.08,166.59,164.455,166.1299,38515428.0,165.974,2022-08-03 16:00:00,352950,,2022-08-03
166.13,166.13,165.63,165.84,2457896.0,166.1012,2022-08-03 20:00:00,5288,,2022-08-03
165.63,166.65,165.62,165.93,213440.0,166.1464,2022-08-04 08:00:00,4591,,2022-08-04
166.4745,167.19,164.43,165.3838,26580407.0,165.6664,2022-08-04 12:00:00,286746,,2022-08-04
165.39,166.06,164.791,165.82,23686354.0,165.4643,2022-08-04 16:00:00,227358,,2022-08-04
165.81,165.86,165.6,165.86,1463646.0,165.7988,2022-08-04 20:00:00,3797,,2022-08-04
